subject,stim_name,ensemble,genre,target,mean_pearson
0009,pop_falldead_trio_BsDrVx_theme1_stereo_Vx,trio,pop,Vx,-0.019229871751745606
0009,pop_falldead_trio_GtDrVx_theme1_stereo_Dr,trio,pop,Dr,0.014540392038766175
0009,pop_falldead_trio_GtDrVx_theme1_stereo_Gt,trio,pop,Gt,0.011054731975187755
0009,pop_mixtape_duo_BsDr_theme2_stereo_Bs,duo,pop,Bs,0.03849149183084821
0009,pop_mixtape_duo_BsDr_theme2_stereo_Dr,duo,pop,Dr,0.09189510624106718
0009,pop_mixtape_duo_GtVx_theme1_stereo_Gt,duo,pop,Gt,-0.01012068590569005
0009,pop_mixtape_duo_GtVx_theme2_stereo_Vx,duo,pop,Vx,0.017760465566384484
0009,pop_mixtape_trio_BsDrVx_theme2_stereo_Dr,trio,pop,Dr,0.04587948755383292
0009,pop_mixtape_trio_BsDrVx_theme2_stereo_Vx,trio,pop,Vx,-0.017223631495527816
0009,pop_mixtape_trio_GtDrVx_theme2_stereo_Dr,trio,pop,Dr,-0.006709567912548832
